major,macro_genre,budget_binned,0
no,action,avg,0.40987124463519314
no,action,high,0.40987124463519314
no,action,low,0.18025751072961374
no,dark,avg,0.5437037037037037
no,dark,high,0.1288888888888889
no,dark,low,0.3274074074074074
no,light,avg,0.5907928388746803
no,light,high,0.15601023017902813
no,light,low,0.2531969309462916
no,other,avg,0.49075975359342916
no,other,high,0.059548254620123205
no,other,low,0.44969199178644764
yes,action,avg,0.32222222222222224
yes,action,high,0.625
yes,action,low,0.05277777777777778
yes,dark,avg,0.47863247863247865
yes,dark,high,0.33048433048433046
yes,dark,low,0.1908831908831909
yes,light,avg,0.5176470588235295
yes,light,high,0.39215686274509803
yes,light,low,0.09019607843137255
yes,other,avg,0.58
yes,other,high,0.235
yes,other,low,0.185
